,delta,ideal,raw_m3,cvar_ub_m3,cvar_ub_m3_ci_lb,cvar_ub_m3_ci_ub,error,error_ci_lb,error_ci_ub
0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.13999999999999999,0.0002,0.0,0.0,0.0,0.0,-0.0002,-0.0002,-0.0002
3,-0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.13,0.0004,5.00480173746379e-05,0.0006351501990669087,0.0,0.0023948079342011857,0.00023515019906690868,-0.0004,0.0019948079342011855
5,-0.125,0.0005,4.969231506726767e-05,0.0006306360463954135,0.0,0.0023840298051409814,0.0001306360463954135,-0.0005,0.0018840298051409814
6,-0.12,0.0008,9.98288887031067e-05,0.0012669100967132017,0.0,0.003752057032324784,0.00046691009671320164,-0.0008,0.002952057032324784
7,-0.11499999999999999,0.0022,0.0,0.0,0.0,0.0,-0.0022,-0.0022,-0.0022
8,-0.10999999999999999,0.0046,0.000328552407106579,0.004169598272306496,0.0,0.008677522450956737,-0.00043040172769350394,-0.0046,0.004077522450956737
9,-0.105,0.0066,0.0005173673461471004,0.0065658139949130515,0.0009095096994871498,0.012222118290338953,-3.418600508694851e-05,-0.00569049030051285,0.005622118290338953
10,-0.09999999999999999,0.0106,0.0006209017292768824,0.00787974984102061,0.001683595918325254,0.014075903763715964,-0.002720250158979391,-0.008916404081674746,0.0034759037637159644
11,-0.095,0.0177,0.0008479048813799653,0.010760605163776181,0.003520664589153416,0.018000545738398946,-0.006939394836223819,-0.014179335410846584,0.00030054573839894544
12,-0.09,0.0273,0.0013608420924310556,0.01727019712761333,0.00810052526365193,0.02643986899157473,-0.01002980287238667,-0.019199474736348074,-0.000860131008425271
13,-0.08499999999999999,0.0389,0.00228896564059059,0.02904884266235024,0.017161968735384718,0.04093571658931576,-0.009851157337649758,-0.02173803126461528,0.0020357165893157628
14,-0.07999999999999999,0.0548,0.005089199703213168,0.0645860989935065,0.04688653976116935,0.08228565822584363,0.009786098993506492,-0.007913460238830654,0.02748565822584363
15,-0.075,0.0812,0.006503545744583549,0.08253530491312243,0.0625411113361975,0.10252949849004736,0.0013353049131224343,-0.018658888663802498,0.021329498490047366
16,-0.06999999999999999,0.1181,0.006788969688139127,0.08615756777342218,0.06573227295184636,0.106582862594998,-0.03194243222657782,-0.05236772704815364,-0.011517137405002001
17,-0.06499999999999999,0.1604,0.01359392062963583,0.1725179506988497,0.14371441065703194,0.20132149074066746,0.012117950698849717,-0.016685589342968044,0.04092149074066748
18,-0.06,0.2051,0.016545389882717733,0.2099745050634749,0.17824514631404292,0.24170386381290687,0.004874505063474893,-0.02685485368595708,0.03660386381290687
19,-0.05499999999999999,0.2622,0.020328673064325974,0.25798745726370875,0.2228847714917197,0.2930901430356978,-0.004212542736291236,-0.03931522850828029,0.030890143035697815
20,-0.04999999999999999,0.3254,0.026241915611279497,0.33303133268267215,0.29326926707901313,0.3727933982863312,0.007631332682672132,-0.03213073292098689,0.047393398286331156
21,-0.045,0.411,0.040339516176977105,0.5119413929682198,0.46300073760494453,0.5608820483314951,0.10094139296821986,0.05200073760494456,0.14988204833149515
22,-0.039999999999999994,0.4895,0.041098676901726444,0.5215757623347208,0.472196282425296,0.5709552422441456,0.032075762334720814,-0.017303717574704003,0.08145524224414563
23,-0.03499999999999999,0.5895,0.049883742224081457,0.6330654132941451,0.5789135356245596,0.6872172909637306,0.043565413294145094,-0.010586464375440419,0.09771729096373061
24,-0.03,0.6795,0.05733244396139349,0.7275955193686616,0.6697692546810895,0.7854217840562338,0.04809551936866163,-0.009730745318910494,0.10592178405623376
25,-0.024999999999999994,0.7578,0.06818522097890328,0.8653261197938695,0.8026278501333672,0.9280243894543718,0.1075261197938695,0.04482785013336721,0.1702243894543718
26,-0.01999999999999999,0.8462,0.07610943329735856,0.9658908433440546,0.899931679333193,1.0,0.11969084334405466,0.053731679333193005,0.15380000000000005
27,-0.014999999999999986,0.9028,0.07596156549603442,0.964014280227806,0.8981139481281593,1.0,0.06121428022780595,-0.004686051871840791,0.09719999999999995
28,-0.009999999999999981,0.957,0.07822687557726198,0.9927629145297331,0.92596919245545,1.0,0.035762914529733125,-0.03103080754455001,0.04300000000000004
29,-0.0050000000000000044,0.9899,0.08475653812929623,1.0,0.9307211684183946,1.0,0.010099999999999998,-0.05917883158160542,0.010099999999999998
30,0.0,1.0,0.08259098226389866,1.0,0.9315310843289215,1.0,0.0,-0.06846891567107849,0.0
31,0.0050000000000000044,0.9881,0.08499672846653085,1.0,0.9306321777273977,1.0,0.011900000000000022,-0.057467822272602276,0.011900000000000022
32,0.010000000000000009,0.9547,0.07870187296515016,0.9987910191640303,0.9318120807057664,1.0,0.044091019164030354,-0.022887919294233616,0.04530000000000001
33,0.015000000000000013,0.9073,0.07718693769407653,0.9795652537996764,0.9131795743935341,1.0,0.07226525379967641,0.005879574393534148,0.0927
34,0.020000000000000018,0.8407,0.07023320352839946,0.8913166902946148,0.8277537633227338,0.9548796172664958,0.0506166902946148,-0.012946236677266243,0.11417961726649584
35,0.025000000000000022,0.7566,0.0628822315600291,0.7980268547733436,0.7376449663810493,0.8584087431656379,0.04142685477334351,-0.01895503361895079,0.10180874316563782
36,0.03,0.6797,0.05698665458621454,0.7232071698994691,0.6655449799118228,0.7808693598871154,0.04350716989946912,-0.01415502008817715,0.1011693598871154
37,0.035,0.5871,0.04497208332117693,0.5707324519986701,0.519182867541814,0.6222820364555262,-0.01636754800132989,-0.06791713245818598,0.0351820364555262
38,0.04000000000000001,0.4904,0.048277503091336674,0.6126809273858401,0.559363007235937,0.6659988475357432,0.12228092738584012,0.06896300723593701,0.17559884753574323
39,0.04500000000000001,0.4059,0.034894684879078125,0.4428420387049123,0.3971949981408962,0.4884890792689284,0.036942038704912306,-0.008705001859103778,0.08258907926892839
40,0.05000000000000002,0.3383,0.029896866874572877,0.3794156480708986,0.337054529002161,0.42177676713963624,0.041115648070898625,-0.0012454709978390044,0.08347676713963625
41,0.05500000000000002,0.2643,0.022765295502282512,0.2889101852298171,0.25180951810793073,0.32601085235170346,0.024610185229817116,-0.01249048189206925,0.06171085235170348
42,0.06,0.2048,0.0181400975085357,0.23021264673469885,0.1970163068168794,0.2634089866525183,0.02541264673469884,-0.00778369318312061,0.05860898665251826
43,0.065,0.1628,0.01240045588402295,0.15737190874715604,0.12984516130094081,0.18489865619337126,-0.005428091252843964,-0.032954838699059186,0.022098656193371258
44,0.07,0.1227,0.00964982001561214,0.12246409399189981,0.09814767426942683,0.14678051371437278,-0.00023590600810019513,-0.02455232573057317,0.02408051371437278
45,0.07500000000000001,0.0838,0.007014342835719935,0.08901773700807454,0.06825853695002398,0.1097769370661251,0.005217737008074541,-0.015541463049976015,0.025976937066125097
46,0.08000000000000002,0.0652,0.005753171871663018,0.07301244786980622,0.054199952182211214,0.09182494355740123,0.007812447869806227,-0.01100004781778878,0.026624943557401234
47,0.08500000000000002,0.0422,0.0030897173730600734,0.03921103587120448,0.025406142793082506,0.053015928949326455,-0.0029889641287955196,-0.016793857206917496,0.010815928949326453
48,0.09,0.0302,0.0011838314098956007,0.015023787056905172,0.006470494174749876,0.02357707993906047,-0.01517621294309483,-0.023729505825250123,-0.006622920060939532
49,0.095,0.02,0.0004251978164586742,0.0053961074171021695,0.00026809822831072583,0.010524116605893613,-0.014603892582897831,-0.019731901771689275,-0.009475883394106387
50,0.1,0.0135,0.0005265738744573054,0.006682652355265466,0.0009762694239911886,0.012389035286539743,-0.006817347644734534,-0.01252373057600881,-0.001110964713460257
51,0.10500000000000001,0.0089,0.00030717065779711696,0.0038982464177735807,0.0,0.008257064907319471,-0.005001753582226419,-0.0089,-0.0006429350926805289
52,0.11000000000000001,0.0052,0.0003347470830334452,0.004248213767075283,0.0,0.008798422620817488,-0.0009517862329247164,-0.0052,0.003598422620817488
53,0.11500000000000002,0.0029,5.163825146332296e-05,0.0006553315678997756,0.0,0.0024427251027836394,-0.002244668432100224,-0.0029,-0.00045727489721636037
54,0.12000000000000002,0.0022,0.0001001786932788827,0.0012713494023559307,0.0,0.0037608461240818385,-0.0009286505976440695,-0.0022,0.0015608461240818384
55,0.12500000000000003,0.0007,0.0,0.0,0.0,0.0,-0.0007,-0.0007,-0.0007
56,0.13000000000000003,0.0005,0.0,0.0,0.0,0.0,-0.0005,-0.0005,-0.0005
57,0.13500000000000004,0.0005,5.0344081707014463e-05,0.0006389074971480287,0.0,0.002403762017013808,0.00013890749714802865,-0.0005,0.0019037620170138081
58,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.145,0.0001,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001
60,0.15,0.0001,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001
