,delta,ideal,raw_m3,fitted_cvar_ub_m3,fitted_cvar_ub_m3_ci_lb,fitted_cvar_ub_m3_ci_ub,fitted_error,fitted_error_ci_lb,fitted_error_ci_ub
0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.13999999999999999,0.0002,0.0,0.0,0.0,0.0,-0.0002,-0.0002,-0.0002
3,-0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.13,0.0004,5.00480173746379e-05,0.0005896633453557796,0.0,0.0022233016065179205,0.00018966334535577958,-0.0004,0.0018233016065179206
5,-0.125,0.0005,4.969231506726767e-05,0.0005854724777946404,0.0,0.0022132953628803474,8.54724777946404e-05,-0.0005,0.0017132953628803474
6,-0.12,0.0008,9.98288887031067e-05,0.0011761791887814935,0.0,0.003483350087737663,0.0003761791887814935,-0.0008,0.002683350087737663
7,-0.11499999999999999,0.0022,0.0,0.0,0.0,0.0,-0.0022,-0.0022,-0.0022
8,-0.10999999999999999,0.0046,0.000328552407106579,0.0038709887356564057,0.0,0.008056073863076932,-0.0007290112643435942,-0.0046,0.0034560738630769316
9,-0.105,0.0066,0.0005173673461471004,0.0060955973105447725,0.0008443743429837561,0.011346820278105789,-0.0005044026894552274,-0.005755625657016244,0.004746820278105789
10,-0.09999999999999999,0.0106,0.0006209017292768824,0.007315434457312386,0.0015630236798877626,0.01306784523473701,-0.003284565542687614,-0.009036976320112237,0.002467845234737009
11,-0.095,0.0177,0.0008479048813799653,0.009989974730774702,0.003268529022844785,0.01671142043870462,-0.007710025269225299,-0.014431470977155216,-0.0009885795612953815
12,-0.09,0.0273,0.0013608420924310556,0.016033376401649337,0.007520398849156033,0.02454635395414264,-0.011266623598350664,-0.01977960115084397,-0.0027536460458573615
13,-0.08499999999999999,0.0389,0.00228896564059059,0.02696848362506883,0.01593289888323282,0.03800406836690484,-0.011931516374931166,-0.022967101116767176,-0.0008959316330951553
14,-0.07999999999999999,0.0548,0.005089199703213168,0.059960707328659275,0.04352871797622698,0.07639269668109157,0.005160707328659274,-0.011271282023773019,0.021592696681091567
15,-0.075,0.0812,0.006503545744583549,0.07662446469595492,0.05806217330475185,0.09518675608715799,-0.0045755353040450725,-0.023137826695248144,0.013986756087157992
16,-0.06999999999999999,0.1181,0.006788969688139127,0.07998731593822832,0.06102479700638789,0.09894983487006875,-0.03811268406177168,-0.05707520299361211,-0.019150165129931243
17,-0.06499999999999999,0.1604,0.01359392062963583,0.16016292223863554,0.13342217366593734,0.18690367081133374,-0.00023707776136444592,-0.02697782633406265,0.026503670811333757
18,-0.06,0.2051,0.016545389882717733,0.19493699171793807,0.16547995958023293,0.22439402385564322,-0.01016300828206193,-0.03962004041976708,0.019294023855643216
19,-0.05499999999999999,0.2622,0.020328673064325974,0.23951145309162428,0.20692267778510293,0.2721002283981456,-0.022688546908375712,-0.05527732221489706,0.009900228398145638
20,-0.04999999999999999,0.3254,0.026241915611279497,0.3091809937656513,0.2722665243117266,0.34609546321957596,-0.016219006234348743,-0.053133475688273424,0.020695463219575938
21,-0.045,0.411,0.040339516176977105,0.47527824890430054,0.4298425226653591,0.5207139751432419,0.06427824890430056,0.01884252266535913,0.10971397514324194
22,-0.039999999999999994,0.4895,0.041098676901726444,0.48422264422904443,0.43837952025916177,0.530065768198927,-0.005277355770955561,-0.05112047974083822,0.040565768198927044
23,-0.03499999999999999,0.5895,0.049883742224081457,0.5877278633943098,0.5374541212292995,0.6380016055593202,-0.0017721366056902,-0.05204587877070055,0.04850160555932015
24,-0.03,0.6795,0.05733244396139349,0.6754881107604045,0.6218031261139452,0.7291730954068638,-0.004011889239595501,-0.05769687388605482,0.04967309540686382
25,-0.024999999999999994,0.7578,0.06818522097890328,0.8033550101550669,0.7451469335609888,0.8615630867491451,0.04555501015506691,-0.012653066439011207,0.10376308674914503
26,-0.01999999999999999,0.8462,0.07610943329735856,0.8967177004297409,0.8354822613719346,0.9579531394875471,0.05051770042974091,-0.010717738628065354,0.11175313948754717
27,-0.014999999999999986,0.9028,0.07596156549603442,0.8949755290716526,0.833794708624738,0.9561563495185671,-0.007824470928347482,-0.06900529137526201,0.05335634951856705
28,-0.009999999999999981,0.957,0.07822687557726198,0.9216653040284868,0.8596550745348219,0.9836755335221516,-0.035334695971513175,-0.09734492546517803,0.026675533522151684
29,-0.0050000000000000044,0.9899,0.08475653812929623,0.9985974756998474,0.9342801100550548,1.0,0.008697475699847357,-0.055619889944945156,0.010099999999999998
30,0.0,1.0,0.08259098226389866,0.9730830001395775,0.9095175475477287,1.0,-0.026916999860422508,-0.09048245245227127,0.0
31,0.0050000000000000044,0.9881,0.08499672846653085,1.0,0.9356000168127179,1.0,0.011900000000000022,-0.05249998318728211,0.011900000000000022
32,0.010000000000000009,0.9547,0.07870187296515016,0.927261700518697,0.865079519079251,0.9894438819581431,-0.02743829948130294,-0.08962048092074903,0.03474388195814315
33,0.015000000000000013,0.9073,0.07718693769407653,0.909412805661347,0.8477813964925396,0.9710442148301544,0.0021128056613469726,-0.05951860350746041,0.06374421483015436
34,0.020000000000000018,0.8407,0.07023320352839946,0.8274842425345725,0.7684734318414373,0.8864950532277077,-0.013215757465427469,-0.07222656815856265,0.045795053227707716
35,0.025000000000000022,0.7566,0.0628822315600291,0.7408754426286965,0.6848178575714826,0.7969330276859105,-0.015724557371303516,-0.07178214242851744,0.040333027685910405
36,0.03,0.6797,0.05698665458621454,0.6714140368918993,0.6178813765879162,0.7249466971958823,-0.008285963108100702,-0.06181862341208377,0.04524669719588237
37,0.035,0.5871,0.04497208332117693,0.5298589332775924,0.4820011187524836,0.5777167478027011,-0.057241066722407585,-0.10509888124751637,-0.009383252197298853
38,0.04000000000000001,0.4904,0.048277503091336674,0.5688032308086518,0.519303721544242,0.6183027400730616,0.0784032308086518,0.028903721544241978,0.12790274007306163
39,0.04500000000000001,0.4059,0.034894684879078125,0.41112750714796553,0.3687495205172265,0.4535054937787046,0.005227507147965549,-0.0371504794827735,0.0476054937787046
40,0.05000000000000002,0.3383,0.029896866874572877,0.35224345461985607,0.31291606525623405,0.3915708439834781,0.013943454619856077,-0.025383934743765935,0.05327084398347809
41,0.05500000000000002,0.2643,0.022765295502282512,0.2682196220362448,0.23377595261417458,0.302663291458315,0.0039196220362447964,-0.030524047385825398,0.03836329145831502
42,0.06,0.2048,0.0181400975085357,0.2137257606408948,0.1829068065127753,0.2445447147690143,0.008925760640894786,-0.02189319348722471,0.03974471476901428
43,0.065,0.1628,0.01240045588402295,0.14610157772633722,0.12054618309724878,0.17165697235542568,-0.016698422273662777,-0.04225381690275122,0.00885697235542568
44,0.07,0.1227,0.00964982001561214,0.11369371757312663,0.0911187401556698,0.13626869499058347,-0.009006282426873374,-0.0315812598443302,0.013568694990583469
45,0.07500000000000001,0.0838,0.007014342835719935,0.08264265157642296,0.06337014033243218,0.10191516282041374,-0.001157348423577037,-0.020429859667567815,0.01811516282041374
46,0.08000000000000002,0.0652,0.005753171871663018,0.0677835956389098,0.050318373778104136,0.08524881749971547,0.002583595638909808,-0.014881626221895858,0.020048817499715474
47,0.08500000000000002,0.0422,0.0030897173730600734,0.036402902212180906,0.02358665898863634,0.049219145435725475,-0.005797097787819096,-0.018613341011363662,0.007019145435725474
48,0.09,0.0302,0.0011838314098956007,0.01394784501193919,0.006007103905175929,0.021888586118702452,-0.01625215498806081,-0.02419289609482407,-0.008311413881297549
49,0.095,0.02,0.0004251978164586742,0.005009660323089044,0.00024889813216134524,0.009770422514016743,-0.014990339676910956,-0.019751101867838655,-0.010229577485983257
50,0.1,0.0135,0.0005265738744573054,0.006204068186461213,0.0009063530096737977,0.011501783363248627,-0.007295931813538787,-0.012593646990326203,-0.0019982166367513727
51,0.10500000000000001,0.0089,0.00030717065779711696,0.003619069988645956,0.0,0.007665727765216218,-0.005280930011354044,-0.0089,-0.0012342722347837816
52,0.11000000000000001,0.0052,0.0003347470830334452,0.0039439741109428585,0.0,0.008168315658354498,-0.0012560258890571413,-0.0052,0.0029683156583544985
53,0.11500000000000002,0.0029,5.163825146332296e-05,0.0006083994072783448,0.0,0.002267787143903905,-0.002291600592721655,-0.0029,-0.0006322128560960947
54,0.12000000000000002,0.0022,0.0001001786932788827,0.0011803005695512612,0.0,0.0034915097407704695,-0.001019699430448739,-0.0022,0.0012915097407704694
55,0.12500000000000003,0.0007,0.0,0.0,0.0,0.0,-0.0007,-0.0007,-0.0007
56,0.13000000000000003,0.0005,0.0,0.0,0.0,0.0,-0.0005,-0.0005,-0.0005
57,0.13500000000000004,0.0005,5.0344081707014463e-05,0.0005931515611498813,0.0,0.002231614434623209,9.315156114988131e-05,-0.0005,0.0017316144346232092
58,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.145,0.0001,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001
60,0.15,0.0001,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001
